Code du département	Libellé du département	Code de la commune	Libellé de la commune	Code B.Vote	Inscrits	Abstentions	% Abs/Ins	Votants	% Vot/Ins	Blancs	% Blancs/Ins	% Blancs/Vot	Nuls	% Nuls/Ins	% Nuls/Vot	Exprimés	% Exp/Ins	% Exp/Vot	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp
ZD	La Réunion	401	Les Avirons	1	884	341	38,57	543	61,43	5	0,57	0,92	7	0,79	1,29	531	60,07	97,79	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	84	9,5	15,82	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	23	2,6	4,33	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	159	17,99	29,94	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	260	29,41	48,96	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	5	0,57	0,94																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	2	637	262	41,13	375	58,87	2	0,31	0,53	6	0,94	1,6	367	57,61	97,87	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	71	11,15	19,35	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	28	4,4	7,63	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	147	23,08	40,05	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	111	17,43	30,25	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	10	1,57	2,72																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	3	703	271	38,55	432	61,45	3	0,43	0,69	7	1	1,62	422	60,03	97,69	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	38	5,41	9	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	21	2,99	4,98	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	134	19,06	31,75	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	225	32,01	53,32	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	4	0,57	0,95																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	4	712	287	40,31	425	59,69	8	1,12	1,88	13	1,83	3,06	404	56,74	95,06	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	75	10,53	18,56	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	11	1,54	2,72	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	139	19,52	34,41	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	170	23,88	42,08	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	9	1,26	2,23																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	5	768	313	40,76	455	59,24	8	1,04	1,76	8	1,04	1,76	439	57,16	96,48	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	62	8,07	14,12	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	21	2,73	4,78	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	143	18,62	32,57	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	207	26,95	47,15	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	6	0,78	1,37																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	6	734	253	34,47	481	65,53	8	1,09	1,66	5	0,68	1,04	468	63,76	97,3	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	61	8,31	13,03	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	21	2,86	4,49	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	165	22,48	35,26	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	186	25,34	39,74	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	35	4,77	7,48																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	7	790	299	37,85	491	62,15	2	0,25	0,41	2	0,25	0,41	487	61,65	99,19	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	80	10,13	16,43	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	22	2,78	4,52	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	168	21,27	34,5	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	210	26,58	43,12	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	7	0,89	1,44																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	8	857	295	34,42	562	65,58	7	0,82	1,25	15	1,75	2,67	540	63,01	96,09	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	53	6,18	9,81	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	19	2,22	3,52	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	190	22,17	35,19	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	274	31,97	50,74	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	4	0,47	0,74																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	9	546	190	34,8	356	65,2	4	0,73	1,12	3	0,55	0,84	349	63,92	98,03	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	47	8,61	13,47	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	11	2,01	3,15	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	145	26,56	41,55	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	146	26,74	41,83	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
ZD	La Réunion	401	Les Avirons	10	701	218	31,1	483	68,9	9	1,28	1,86	10	1,43	2,07	464	66,19	96,07	1	LDVD	M	FORT	Paul	L'ALTERNATIVE	65	9,27	14,01	2	LDVG	M	VENDÔME	Dominique	CITOYENS, C'EST MAINTENANT !	33	4,71	7,11	3	LDVC	F	LUCAS	Roseline	ENSEMBLE CONSTRUISONS L'AVENIR DES AVIRONS	146	20,83	31,47	4	LDVD	M	FERRERE	Eric	Les Avirons avec Eric Ferrere, AVANÇONS !	213	30,39	45,91	5	LDVG	M	FONTAINE	James	POUR UN VRAI RENOUVEAU AUX AVIRONS, VOTONS POUR LE CHANGEMENT	7	1	1,51																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
