N° tour;Code département;Code commune;Nom de la commune;N° de bureau de vote;Inscrits;Votants;Exprimés;N° de dépôt de la liste;Nom du candidat tête de liste;Prénom du candidat tête de liste;Code nuance de la liste;Nombre de voix
1;ZD;401;Les Avirons;0001;920;685;661;2;DENNEMONT;Michel;LMDM;317
1;ZD;401;Les Avirons;0001;920;685;661;4;DENNEMONT;Jean Daniel ;LDVD;281
1;ZD;401;Les Avirons;0001;920;685;661;3;BRABANT VICTOIRE;Fabienne;LDVG;63
1;ZD;401;Les Avirons;0002;929;679;652;2;DENNEMONT;Michel;LMDM;311
1;ZD;401;Les Avirons;0002;929;679;652;4;DENNEMONT;Jean Daniel ;LDVD;263
1;ZD;401;Les Avirons;0002;929;679;652;3;BRABANT VICTOIRE;Fabienne;LDVG;78
1;ZD;401;Les Avirons;0003;868;645;617;4;DENNEMONT;Jean Daniel ;LDVD;259
1;ZD;401;Les Avirons;0003;868;645;617;3;BRABANT VICTOIRE;Fabienne;LDVG;55
1;ZD;401;Les Avirons;0003;868;645;617;2;DENNEMONT;Michel;LMDM;303
1;ZD;401;Les Avirons;0004;831;643;629;4;DENNEMONT;Jean Daniel ;LDVD;293
1;ZD;401;Les Avirons;0004;831;643;629;2;DENNEMONT;Michel;LMDM;288
1;ZD;401;Les Avirons;0004;831;643;629;3;BRABANT VICTOIRE;Fabienne;LDVG;48
1;ZD;401;Les Avirons;0005;736;593;575;2;DENNEMONT;Michel;LMDM;286
1;ZD;401;Les Avirons;0005;736;593;575;4;DENNEMONT;Jean Daniel ;LDVD;252
1;ZD;401;Les Avirons;0005;736;593;575;3;BRABANT VICTOIRE;Fabienne;LDVG;37
1;ZD;401;Les Avirons;0006;773;578;551;3;BRABANT VICTOIRE;Fabienne;LDVG;28
1;ZD;401;Les Avirons;0006;773;578;551;4;DENNEMONT;Jean Daniel ;LDVD;161
1;ZD;401;Les Avirons;0006;773;578;551;2;DENNEMONT;Michel;LMDM;362
1;ZD;401;Les Avirons;0007;775;565;545;3;BRABANT VICTOIRE;Fabienne;LDVG;72
1;ZD;401;Les Avirons;0007;775;565;545;4;DENNEMONT;Jean Daniel ;LDVD;203
1;ZD;401;Les Avirons;0007;775;565;545;2;DENNEMONT;Michel;LMDM;270
1;ZD;401;Les Avirons;0008;725;585;558;4;DENNEMONT;Jean Daniel ;LDVD;210
1;ZD;401;Les Avirons;0008;725;585;558;3;BRABANT VICTOIRE;Fabienne;LDVG;78
1;ZD;401;Les Avirons;0008;725;585;558;2;DENNEMONT;Michel;LMDM;270
1;ZD;401;Les Avirons;0009;762;594;575;3;BRABANT VICTOIRE;Fabienne;LDVG;70
1;ZD;401;Les Avirons;0009;762;594;575;4;DENNEMONT;Jean Daniel ;LDVD;240
1;ZD;401;Les Avirons;0009;762;594;575;2;DENNEMONT;Michel;LMDM;265
1;ZD;401;Les Avirons;0010;890;668;634;4;DENNEMONT;Jean Daniel ;LDVD;215
1;ZD;401;Les Avirons;0010;890;668;634;2;DENNEMONT;Michel;LMDM;370
1;ZD;401;Les Avirons;0010;890;668;634;3;BRABANT VICTOIRE;Fabienne;LDVG;49
1;ZD;402;Bras-Panon;0001;988;686;660;3;RATENON;Jean-Hugues;LUG;152
1;ZD;402;Bras-Panon;0001;988;686;660;5;GIRAUD;Pascal;LDVD;33
1;ZD;402;Bras-Panon;0001;988;686;660;2;ATCHAPA;Jeannick;LMDM;108
1;ZD;402;Bras-Panon;0001;988;686;660;4;GONTHIER;Daniel;LUD;367
1;ZD;402;Bras-Panon;0002;965;674;645;5;GIRAUD;Pascal;LDVD;39
1;ZD;402;Bras-Panon;0002;965;674;645;2;ATCHAPA;Jeannick;LMDM;110
1;ZD;402;Bras-Panon;0002;965;674;645;4;GONTHIER;Daniel;LUD;364
1;ZD;402;Bras-Panon;0002;965;674;645;3;RATENON;Jean-Hugues;LUG;132
1;ZD;402;Bras-Panon;0003;891;647;626;5;GIRAUD;Pascal;LDVD;39
1;ZD;402;Bras-Panon;0003;891;647;626;2;ATCHAPA;Jeannick;LMDM;74
1;ZD;402;Bras-Panon;0003;891;647;626;3;RATENON;Jean-Hugues;LUG;168
1;ZD;402;Bras-Panon;0003;891;647;626;4;GONTHIER;Daniel;LUD;345
1;ZD;402;Bras-Panon;0004;758;537;522;2;ATCHAPA;Jeannick;LMDM;83
1;ZD;402;Bras-Panon;0004;758;537;522;5;GIRAUD;Pascal;LDVD;33
